no.,track_id,song_name,singer_list,album_name,audio_url
1,1444168210,Lemonade,"Jeremy Passion,Melissa Polinar,Gabe Bondoc",Thankful,http://m801.music.126.net/20230108155156/f8266307d189dc7d68582480e23f4429/jdymusic/obj/w5zDlMODwrDDiGjCn8Ky/2345770076/74c2/b9b2/5ec9/edf41bf0e85d961fd4f16a25a6d86899.flac
2,1698425,Stranger In Moscow,Michael Jackson,"HIStory: Past, Present and Future, Book I",http://m801.music.126.net/20230108155156/772dd0005b2edd1c2679ef8e3a802adc/jdymusic/obj/wo3DlMOGwrbDjj7DisKw/4209703668/7909/a17d/291b/a56d10d3ecae618d24f2ecd17a31f38c.mp3
3,1952737857,Payphone,Maroon 5,Kids Songs: Summer Camp!,http://m801.music.126.net/20230108155156/ab4c429fcc33fea59ec0d556850eec24/jdymusic/obj/wo3DlMOGwrbDjj7DisKw/19808274634/c360/9f77/8529/e02f20d6728c93cb019da5152b950a10.flac
4,33081065,My Love,"Jess Glynne,Route 94",My Love,http://m8.music.126.net/20230108155156/5a8aad51b6aedb708fe7aa9d248f2f26/ymusic/fdf1/a5f8/86ea/01874a5305be078ae99398bd31ece7ec.flac
5,1371702140,False Confidence,Noah Kahan,Busyhead,http://m801.music.126.net/20230108155156/07824e5d38b89fa436138b1d44618330/jdymusic/obj/wo3DlMOGwrbDjj7DisKw/19685963991/ea0c/7f3d/9837/cfd86dc895e3edffb8f51ef6fc88a09c.flac
6,1918681527,Fall In Love,Bailey Zimmerman,Fall In Love,http://m801.music.126.net/20230108155156/01c1d940c220bf384c5d74ecf5e39844/jdymusic/obj/wo3DlMOGwrbDjj7DisKw/16596167729/40ed/dfaa/2ebd/244b43775eae69504ff5e021ada23413.flac
7,18210642,Cry Baby,Priscilla Ahn,When You Grow Up,http://m8.music.126.net/20230108155156/c38a5cdc859da9d40bc9fafc36ea38ea/ymusic/eb70/4c73/f1a2/e5422bb5626dbb5dfd6c447aa7ecfecc.mp3
8,1378400518,Anywhere,Hope Tala,Sensitive Soul,http://m8.music.126.net/20230108155156/0f3ac1c2e24bb9e9fb7787de26365c4f/ymusic/535b/0759/015d/d1d9cfce720392c07dc0674ccf2079df.flac
9,1843271044,barcelona,"Winnetka Bowling League,Sasha Alex Sloan",barcelona,http://m801.music.126.net/20230108155156/46138e1c8ecc83e3287b215e308c22e5/jdymusic/obj/wo3DlMOGwrbDjj7DisKw/8837407441/ebf6/ddcf/9e2d/54a85dce862d19fffe0f8b62e160f01b.mp3
10,1385739670,Come Again,"Bernard Jabs,iann dior",Come Again,http://m8.music.126.net/20230108155156/75e86b4b26d3d3f5c02731d9698057b5/ymusic/075b/555e/0059/01b9528c8ab47ba4ef7c73057d6df506.mp3
11,1415262109,Something Different,"CLNGR,Matt Bloyd",Something Different,http://m8.music.126.net/20230108155156/6b2f6a9cb794f6374508b94109ed2e24/ymusic/0e58/0659/0453/92c73c583e13d555eddb3910377f4795.mp3
12,23183081,Skinny Love,Birdy,The Chillout Session - Ministry of Sound,http://m8.music.126.net/20230108155156/a4533f326064a5fea3efbc5df7f64301/ymusic/e9fb/d91c/302e/02d0a7e02770580e9344cbc56c788db8.mp3
13,1396489536,Alone,Yung Divide,Alone,http://m8.music.126.net/20230108155156/392568802ebc050617995cf157585cc7/ymusic/0758/000c/5153/02a9e077b07fbf5a0f27f9684347fab2.mp3
14,29722659,Colourful,Virginia To Vegas,Vol. I,http://m8.music.126.net/20230108155156/2c944e019cbd6682a7cd6000293f8bdb/ymusic/020f/5253/540f/5ef02cf627e9d7e65d6ece632250f35b.mp3
15,2874075,Hold Me,"Kobe Bryant,Brian McKnight",K.O.B.E.,http://m8.music.126.net/20230108155156/5df7a9a35e1e13531f7438a4aeff12e0/ymusic/e981/9b61/e502/f7cc6b570d1f58720b218dd97c06abfe.mp3
16,865302468,Heartbeat,"J. Lisk,Gvonni",Heartbeat,http://m8.music.126.net/20230108155156/3619ee411629b4bc219108b5909f8b02/ymusic/9a0a/c115/ab1c/9731167403d11a4099e9ff9880a445b1.mp3
17,2780613,Am I That Easy To Forget,Jim Reeves,The Ultimate Collection,http://m8.music.126.net/20230108155156/8dfc90b321677116abb8edcdb24f6374/ymusic/3466/d566/cace/f2c3bfd9c34a8b387233ea25aca505e2.mp3
18,1447602450,Bang!,"AJR,Younotus",Bang!,http://m801.music.126.net/20230108155156/da30bb8a6c9abdebcef72127b34fca15/jdymusic/obj/wo3DlMOGwrbDjj7DisKw/9019939517/95de/8979/3a32/dc5e7678cb180c11b7f39e4af3fa2bca.mp3
19,28102023,Is A Woman,Lambchop,L'inrockuptible 2,http://m8.music.126.net/20230108155156/eb0bebd1594059ca3a0de3b9fa582074/ymusic/9407/8636/c51b/656afbb1a1d13263540317b7e4d4a576.flac
20,549320162,In Love,khai dreams,In Love,http://m801.music.126.net/20230108155156/481d60fa6024df0ce04d8a5a6edf83f6/jdymusic/obj/wo3DlMOGwrbDjj7DisKw/21957552759/475a/2beb/4bad/0dc1f0d1c92fa46e1730bca80905de0e.flac
21,531040881,So Far Away,"Anevo,Sarah Siddiqui",So Far Away,http://m8.music.126.net/20230108155156/d7ba3915205493e2c70be38c74524787/ymusic/2c02/b3bd/a171/45ed9169c18343fd5f38458c8d847850.mp3
22,27780266,Dorian,Agnes Obel,Aventine,http://m8.music.126.net/20230108155156/ff85fef5aaee8258557a935bf8333633/ymusic/8aea/cef9/6858/b5eac93043634c34e61bf6c43588a0d8.mp3
23,17118320,You've Got a Friend,Carole King,Tapestry,http://m8.music.126.net/20230108155156/073f5135bea9d74072458d96e24c0c14/ymusic/obj/w5zDlMODwrDDiGjCn8Ky/3568843393/122a/dc0f/3294/d4bcae6c60507d1c1bb99360993faff5.flac
24,25783075,Cheri Cheri Lady (New Version),Modern Talking,Back For Good,http://m801.music.126.net/20230108155156/9be2030d7320ce23de5b9ab6bce1e488/jdymusic/obj/wo3DlMOGwrbDjj7DisKw/9056208130/4a1d/6e81/19e1/eddf7dcacea76aae2dcee1303bef083a.mp3
25,26189462,What A Mystery,Josh Wilson,Carry Me,http://m8.music.126.net/20230108155156/4a8e8aba72c3b78949d8af07405ab06a/ymusic/055d/0f59/5353/2773c4cce483f61d9f9cd9a2e9be140d.mp3
26,4388051,Angel of Mine,The Icarus Account,Keeper of Your Heart,http://m8.music.126.net/20230108155156/b84bae22ff019388b52bf4d1f49213c6/ymusic/obj/w5zDlMODwrDDiGjCn8Ky/3701262984/8adb/ee3c/0892/60b1760672ff7aa9d627b1048d99bc68.flac
27,29019651,Just Kids,Alex & Sierra,It's About Us,http://m801.music.126.net/20230108155156/d33b1fd1b9f1129e47b859317b4e9b84/jdymusic/obj/wo3DlMOGwrbDjj7DisKw/8901807010/5521/2d42/5974/bbfa7ee3264209ea5ec07e064cf80ea3.mp3
28,37988003,TOO GOOD,Troye Sivan,Blue Neighbourhood (Deluxe),http://m801.music.126.net/20230108155156/c9e3238abd92af1bc33a0c4f04e0bf7a/jdymusic/obj/wo3DlMOGwrbDjj7DisKw/14096599397/8778/75ab/30da/79313a5bf5410e93f7021d6ffce8e5ab.flac
29,1313096578,Shallow,"Lady Gaga,Bradley Cooper",A Star Is Born Soundtrack,http://m8.music.126.net/20230108155156/5546eff87579fb713e635d4b94a18239/ymusic/obj/w5zDlMODwrDDiGjCn8Ky/14053646072/409f/f3bf/29a9/5d9907564a301d19f80b60874c2b75a1.flac
30,32451261,We Sink,Of Monsters And Men,Beneath The Skin,http://m8.music.126.net/20230108155156/9e5d2892f89f7a6bc226c120ba9403ee/ymusic/f329/5bb0/39e3/f32f64ed50fc0ade298220451725277b.mp3
